Region,District,Village
Tigray,Raya Azebo,Wargba
Tigray,Raya Azebo,Wargba
Tigray,Endamekoni,Tahtay haya
Tigray,Endamekoni,Tahtay haya
Tigray,Endamekoni,Tahtay haya
Tigray,Endamekoni,Tahtay haya
Tigray,Endamekoni,Tahtay haya
Tigray,Endamekoni,Tahtay haya
Tigray,Endamekoni,Tahtay haya
Tigray,Endamekoni,Tahtay haya
Tigray,Endamekoni,Tahtay haya
Tigray,Endamekoni,Tahtay haya
Tigray,Endamekoni,Mekan
Tigray,Endamekoni,Mekan
Tigray,Endamekoni,Mekan
Tigray,Endamekoni,Mekan
Tigray,Endamekoni,Mekan
Tigray,Endamekoni,Mekan
Tigray,Endamekoni,Mekan
Tigray,Endamekoni,Mekan
Tigray,Endamekoni,Mekan
Tigray,Endamekoni,Mekan
Tigray,Endamekoni,Hizba Teklehymanot
Tigray,Endamekoni,Hizba Teklehymanot
Tigray,Endamekoni,Hizba Teklehymanot
Tigray,Endamekoni,Hizba Teklehymanot
Tigray,Endamekoni,Hizba Teklehymanot
Tigray,Endamekoni,Hizba Teklehymanot
Tigray,Endamekoni,Hizba Teklehymanot
Tigray,Endamekoni,Hizba Teklehymanot
Tigray,Endamekoni,Hizba Teklehymanot
Tigray,Endamekoni,Hizba Teklehymanot
Tigray,Emba-Alaje,Tekea
Tigray,Emba-Alaje,Tekea
Tigray,Emba-Alaje,Tekea
Tigray,Emba-Alaje,Tekea
Tigray,Emba-Alaje,Tekea
Tigray,Emba-Alaje,Tekea
Tigray,Emba-Alaje,Tekea
Tigray,Emba-Alaje,Tekea
Tigray,Emba-Alaje,Tekea
Tigray,Emba-Alaje,Tekea
Tigray,Kilte Awlaelo,Debrebrhan
Tigray,Kilte Awlaelo,Debrebrhan
